,Text,Rating,Category
0,Good courier services with proper service. After verification only they giving products that good to know better one for delivering products. Good service and good safe fast delivery service. It was good and satisfaction for customers for service like this. It is good to know that they are safe fast and genuine. Fair is little high but service is satisfactory.,4.0,Relavent
1,"Wrost service delivery... 0 rating is not there so I gave 1.   They said courier went out for delivery morning and at the end of the day, they are simply saying Street in mentioned address is not known. THEY ARE NOT EVEN CALLING ONCE and simply return the courier back.  This was happened 2 days continuously. Please try to call customer if you have any query instead of returning the courier.  It will save lot of time and money to both of us. Please improve your service with this feedback",1.0,Relavent
2,Front desk lady was very polite and helpful as she told me the rates and process and also help me get laptop packed before shipping. Overall good experience at the Blue Dart service point.,5.0,Relavent
3,Worst service done by this courier department. Twice they returned my parcel even without calling me and updated as customer not available first time and then restricted area entry prohibited. They are least bothered to interact with the customer and the management is doesn't look into the customer negative feedback and take strict action against the delivery team.,1.0,Relavent
4,"No more a trusted partner for deliveries, most of the time call center number doesnt work

Network conjusted is yhe recorded message you hear whdn you  the custlmer care",1.0,Relavent
5,"My package was out for delivery and after some time, it is showing prohibited area entry restricted for delivery. Seriously???
Many deliveries are happening and it is not lockdown or something. My package is missed now. Their customer care number doesn't work. No option to talk to someone. Delivery agents will never call.",1.0,Relavent
6,Decent place for booking/picking courier with convenient location though difficult to sight from road. Staff operates in leisurely manner and technology was not smooth enough so it could take longer than one would think.,3.0,Relavent
7,"I don't want to discuss about this place it doesn't matter how the place is ..the main thing which is very important for everyone that their service which is excellent...I went so many times for sending courier...it gives me an amazing services..
Thank you ...great job ... keep it up",4.0,Relavent
8,"Worst service I ever seen worst and worst experience, they are telling we will deliver next week even after the given delivery date is completed. My best advice for everyone is never choose this delivery service.",1.0,Relavent
9,Worst Courier Service provider. No word to can tell there quality of service. I dont know why they are charging so high compared to other services.,1.0,Relavent
10,Such a bad service and courier guys do not have any responsibility. I will never ever use or suggest this courier service.,1.0,Relavent
11,"Bad experience with courier partner, Office staff response is Good.",3.0,Relavent
12,Good staf and responds politely. Very organized with the data ✊,4.0,Relavent
13,Worst Service from Bluedart  not in all Bluedart branches I have scene very worst service from Nanakramguda centre deliver boy  behaviour has not Good... Please Be patience at the Time Of Delivery,1.0,Relavent
14,Wrost coriour service.custumer contact number not available.Document not delivered on time,1.0,Relavent
15,Very convincingly people work here but distance is very far from city that's the only con,5.0,Relavent
16,Waste behaviour and worst delivery never seen like this courier service,1.0,Relavent
17,"Critical: Professionalism, Quality, Responsiveness, Value
Pathetic service of blue dart. The staff have no common sense and are completely illogical. Despite providing proofs of my identity, they refused the parcel to me. Makes unreasonable demands. Pathetic service. Wish there was an option for zero star.",1.0,Relavent
18,Very Good Service..The Lady at the reception was extremely helpful...I was not aware that the packing needs to be taken care by me.However she went out of her way to help me pack my courier...Great experience as of now...will update if the consignment is delivered properly,5.0,Relavent
19,Worst Place worst staff worst workenvironment i wish 1 is even more for them,1.0,Relavent
20,"The staff is very helpful, answers your questions patiently and politely",4.0,Relavent
21,"I went there around 5:30
and the reception guy was saying ""Sir! Office is closed""
Either stop pretending like an SBI bank or mention the office timings on website.
Pathetic service.
Very disappointed",1.0,Relavent
22,Worst service that I have ever seen. They are updating online as location unavailable without calling me to deliver the courier. When I ask customer service they are saying the delivery guys contact will not given to customers. Without communication between customer and the delivery guys how can they assure that the location is not available. Where the other delivery services like speed post ems will contact the customer to deliver the courier. The courier services should be user friendly with customers by improving the communication with delivery guys.............one star rating also west to this courier service.........,1.0,Relavent
23,"Critical: Professionalism, Quality, Responsiveness, Value
LIARS!!!!!!!!!!
they have not deliver my parcel and return my parcel to the senders location by mentioning that ""Consignee Not Available""....THEY SHOULD HAVE CALL ME ONCE .....
such a careless service....Blue dart will be ashamed of THIS SERVICE CENTER........
they don't know the importance of any thing......no customer service ...no customer interaction....they have not called me even a single time when the parcel was out for delivery.....
UNPROFESSIONAL PEOLE....HAVE SOME MANNERS AND ETHICS...
FLIPKART AND AMAZON HAVE BETTER DELIVERY SERIVCE THAN YOU...
LEARN SOMETHING FROM THEM ATLEAST.",1.0,Relavent
24,"One star is the least in the options else they should get in negative. Worst service ever.. i had couriered important documents with blue dart 2 weeks ago(domestic parcel)..but the courier is not yet delivered. The customer care is so bad,they will put you on hold for like 10 minutes and then phone will disconnect.. and i dont know what their delivery team does.. from past 4 days i am being told that the address is not updated in the system.. m getting it updated almost everyday yet parcel is not delivered. Shut your office down if you cannot cater to your clients",1.0,Relavent
25,"I used the express service here to ship something up another city, twice so far. It's a little expensive, but my stuff has always reached on time. And it takes her little time for the process to ship something. Will go here again if I want to ship stuff.",5.0,Relavent
