,Text,Rating,Category
0,#TR Sawhney#Best Deal in Maruti I'm very Happy with Service Mr Sanjeev very good person timely Delivery,5.0,Relavent
1,"Smooth and fast ⏩⏩ transaction and very helpful staff made my first car buying experience easy. (TR Sawhney motors of Daryaganj) amazing
and the crew have given me their full attention to all my car needs. Thanks again for the great help!#Happycustomer #Happybuying #Excellent Experience #daryaganj#Best deal #Bestoffer",5.0,Relavent
2,#Tr sawhney motors# best deal in Maruti I have purchase Breeza petrol I'm very happy with service.,5.0,Relavent
3,I have purchase wagon R petrol I'm very Happy with service#T.R Sawhney#Best deal in Maruti Mr.Atif very nice dealing,5.0,Relavent
4,#Tr Sawhney #I have purchase Ertiga Petrol I'm very happy with service attractive price n best offer Mr pushkar dealing is soo good 👍,5.0,Relavent
5,"your asst. manager mr punneet ia really a good i got the beat deal and he really a genuine person and the services i am getting from is really amazon
thanks suzuki dariyaganj",5.0,Relavent
6,"i am writing to thank you 🤠❤️for the quality of service provided by your sales person We sincerely appreciate your efficient, gracious customer service, the level of detail and accountability you have demonstrated on each project, and the way you conduct business as a whole. I feel amazing#Happycustomer #Happybuying #Excellent Experience #Daryaganj #Best deal #Bestoffer",5.0,Relavent
7,I have purchase wagon r petrol Mr Puneet very panctual service very nice timely Delivery #TR sawhney motors#,5.0,Relavent
8,"Pathetic experience from this dealer.. Bought new car 3 months ago and didn’t receive the registration certificate till date.
They just do false commitments.

I recommend not to buy from this dealer",1.0,Relavent
9,"Nexa Team

You may be doing well in sales but are you aware that your dealers like T.R. Sawhney Motors are spoiling your brand reputation by delivering the worst and fraudulent services ever.
I recently bought an XL6 from T R Sawhney and look at the series of blunders they did
1. They were going to install a wrong spoiler on my car and even did the marking with an iron Rod. It was fortunate they realised that it's a wrong accessory just before putting the holes
2. They sent my car registration documents to a wrong RTO office
3. They got a wrong address registered on my RC resulting in major issues and now I am stuck to know how it will be rectified

I advice you to look at these concerns on a serious note before more customers are harrased and you loose your market value. I have already spoken to their Managing Director with the hope that he will intervene Rahul Sawhney",1.0,Relavent
10,Wonderful experience,5.0,Newest
11,Happy to buy new car from tr sawhney motors daryaganj #daryaganj #trsawhneymotors,5.0,Newest
12,Excellent experience,5.0,Newest
13,Excellent experience,5.0,Newest
14,Sanjay bro iis very nice person this is very exilent service,5.0,Newest
15,Excellent experience,5.0,Newest
16,Wonderful experience,5.0,Newest
17,Very nice experience with all team,5.0,Newest
18,Wonderful experience.,5.0,Newest
19,Excellent experience with trsawhney dariya ganj,5.0,Newest
